Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
767,KC,2017,2017-09-24,4:25,1:25,@,LAC,3,3,Sun,W 24-10,,26,104,4.00,1
768,KC,2017,2017-11-26,1:00,12:00,,BUF,12,11,Sun,L 10-16,,37,104,2.81,0
769,NE,2018,2018-09-16,4:25,4:25,@,JAC,2,2,Sun,L 20-31,,24,104,4.33,0
770,NE,2018,2018-12-30,1:00,1:00,,NYJ,17,16,Sun,W 38-3,,23,104,4.52,0
771,NYG,2017,2017-10-22,4:25,4:25,,SEA,7,7,Sun,L 7-24,,31,104,3.35,0
772,PHI,2018,2018-12-03,8:15,8:15,,WAS,13,12,Mon,W 28-13,,14,104,7.43,1
773,PIT,2019,2019-11-14,8:20,8:20,@,CLE,11,10,Thu,L 7-21,,35,104,2.97,1
774,LA,2018,2018-12-23,4:05,2:05,@,ARI,16,15,Sun,W 31-9,,18,104,5.78,0
775,LA,2019,2019-10-27,1:00,6:00,,CIN,8,8,Sun,W 24-10,,22,104,4.73,0
776,BAL,2019,2019-12-08,1:00,1:00,@,BUF,14,13,Sun,W 24-17,,23,104,4.52,0
777,SF,2019,2019-10-20,1:00,1:00,@,WAS,7,6,Sun,W 9-0,,26,104,4.00,0
778,WAS,2018,2018-09-16,1:00,1:00,,IND,2,2,Sun,L 9-21,,28,104,3.71,1
779,BUF,2019,2019-11-28,4:30,3:30,@,DAL,13,12,Thu,W 26-15,,19,103,5.42,0
780,IND,2017,2017-12-23,4:30,4:30,@,BAL,16,15,Sat,L 16-23,,32,103,3.22,0
781,IND,2018,2018-10-28,4:05,1:05,@,OAK,8,8,Sun,W 42-28,,19,103,5.42,1
782,ARI,2019,2019-10-13,4:05,2:05,,ATL,6,6,Sun,W 34-33,,25,103,4.12,0
783,DAL,2017,2017-10-22,4:05,1:05,@,SF,7,6,Sun,W 40-10,,22,103,4.68,1
784,DET,2017,2017-12-31,1:00,1:00,,GB,17,16,Sun,W 35-11,,27,103,3.81,0
785,GB,2017,2017-09-28,8:25,7:25,,CHI,4,4,Thu,W 35-14,,30,103,3.43,1
786,HOU,2019,2019-09-15,1:00,12:00,,JAC,2,2,Sun,W 13-12,,21,103,4.90,0
787,MIA,2017,2017-09-24,1:00,1:00,@,NYJ,3,2,Sun,L 6-20,,34,103,3.03,1
788,MIA,2017,2017-12-03,1:00,1:00,,DEN,13,12,Sun,W 35-9,,23,103,4.48,0
789,MIA,2017,2017-12-24,1:00,12:00,@,KC,16,15,Sun,L 13-29,,34,103,3.03,1
790,MIA,2018,2018-10-07,1:00,1:00,@,CIN,5,5,Sun,L 17-27,,26,103,3.96,0
791,TEN,2019,2019-10-13,4:25,2:25,@,DEN,6,6,Sun,L 0-16,,30,103,3.43,1
792,BAL,2019,2019-12-12,8:20,8:20,,NYJ,15,14,Thu,W 42-21,,24,103,4.29,0
793,LAC,2018,2018-10-14,1:00,1:00,@,CLE,6,6,Sun,W 38-14,,21,103,4.90,0
794,SF,2018,2018-12-09,4:05,1:05,,DEN,14,13,Sun,W 20-14,,27,103,3.81,1
795,WAS,2018,2018-11-11,1:00,1:00,@,TB,10,9,Sun,W 16-3,,24,103,4.29,0
796,ATL,2019,2019-10-13,4:05,2:05,@,ARI,6,6,Sun,L 33-34,,29,102,3.52,1
797,BUF,2019,2019-10-06,1:00,12:00,@,TEN,5,5,Sun,W 14-7,,27,102,3.78,1
798,CLE,2018,2018-12-23,1:00,1:00,,CIN,16,15,Sun,W 26-18,,24,102,4.25,0
799,DAL,2017,2017-12-10,1:00,1:00,@,NYG,14,13,Sun,W 30-10,,29,102,3.52,0
800,HOU,2017,2017-12-10,1:00,12:00,,SF,14,13,Sun,L 16-26,,31,102,3.29,1
801,KC,2018,2018-11-04,1:00,1:00,@,CLE,9,9,Sun,W 37-21,,25,102,4.08,1
802,MIN,2017,2017-09-17,1:00,1:00,@,PIT,2,2,Sun,L 9-26,,32,102,3.19,0
803,MIN,2017,2017-12-03,1:00,1:00,@,ATL,13,12,Sun,W 14-9,,22,102,4.64,0
804,TEN,2018,2018-11-18,1:00,1:00,@,IND,11,10,Sun,L 10-38,,28,102,3.64,2
805,TEN,2019,2019-09-08,1:00,1:00,@,CLE,1,1,Sun,W 43-13,,20,102,5.10,1
806,TEN,2019,2019-12-22,1:00,12:00,,NO,16,15,Sun,L 28-38,,23,102,4.43,2
807,PIT,2017,2017-12-31,1:00,1:00,,CLE,17,16,Sun,W 28-24,,27,102,3.78,1
808,LA,2018,2018-12-02,1:00,1:00,@,DET,13,12,Sun,W 30-16,,26,102,3.92,0
809,SF,2017,2017-12-31,4:25,1:25,@,LA,17,16,Sun,W 34-13,,26,102,3.92,1
810,SF,2018,2018-11-01,8:20,5:20,,OAK,9,9,Thu,W 34-3,,23,102,4.43,0
811,SF,2019,2019-10-07,8:15,5:15,,CLE,5,4,Mon,W 31-3,,18,102,5.67,0
812,WAS,2017,2017-11-12,1:00,1:00,,MIN,10,9,Sun,L 30-38,,31,102,3.29,1
813,CAR,2017,2017-10-12,8:25,8:25,,PHI,6,6,Thu,L 23-28,,27,101,3.74,0
814,CAR,2018,2018-10-28,1:00,1:00,,BAL,8,7,Sun,W 36-21,,18,101,5.61,1
815,CHI,2017,2017-10-29,1:00,12:00,@,NO,8,8,Sun,L 12-20,,30,101,3.37,2
816,IND,2018,2018-09-09,1:00,1:00,,CIN,1,1,Sun,L 23-34,,20,101,5.05,1
817,ARI,2017,2017-12-31,4:25,1:25,@,SEA,17,16,Sun,W 26-24,,22,101,4.59,0
818,ARI,2019,2019-10-31,8:20,6:20,,SF,9,9,Thu,L 25-28,,31,101,3.26,0
819,DAL,2019,2019-11-24,4:25,4:25,@,NE,12,11,Sun,L 9-13,,27,101,3.74,0
820,DET,2017,2017-12-03,1:00,1:00,@,BAL,13,12,Sun,L 20-44,,27,101,3.74,2
821,KC,2018,2018-10-07,1:00,12:00,,JAC,5,5,Sun,W 30-14,,17,101,5.94,1
822,KC,2019,2019-12-22,8:20,7:20,@,CHI,16,15,Sun,W 26-3,,22,101,4.59,0
823,PHI,2017,2017-12-03,8:30,5:30,@,SEA,13,12,Sun,L 10-24,,25,101,4.04,0
824,PHI,2019,2019-12-15,1:00,1:00,@,WAS,15,14,Sun,W 37-27,,22,101,4.59,1
825,ATL,2019,2019-12-08,1:00,1:00,,CAR,14,13,Sun,W 40-20,,22,100,4.55,1
826,BUF,2017,2017-12-17,1:00,1:00,,MIA,15,14,Sun,W 24-16,,21,100,4.76,1
827,BUF,2018,2018-10-07,1:00,1:00,,TEN,5,5,Sun,W 13-12,,25,100,4.00,0
828,CAR,2017,2017-11-13,8:30,8:30,,MIA,10,10,Mon,W 45-21,,17,100,5.88,1
829,CAR,2017,2017-12-10,1:00,1:00,,MIN,14,13,Sun,W 31-24,,21,100,4.76,0
830,CAR,2019,2019-09-12,8:20,8:20,,TB,2,2,Thu,L 14-20,,31,100,3.23,1
831,CHI,2019,2019-12-15,1:00,12:00,@,GB,15,14,Sun,L 13-21,,24,100,4.17,2
832,IND,2019,2019-10-20,1:00,1:00,,HOU,7,6,Sun,W 30-23,,24,100,4.17,1
833,DAL,2019,2019-11-04,8:15,8:15,@,NYG,9,8,Mon,W 37-18,,22,100,4.55,0
834,DET,2018,2018-12-23,1:00,1:00,,MIN,16,15,Sun,L 9-27,,28,100,3.57,0
835,GB,2018,2018-12-16,1:00,12:00,@,CHI,15,14,Sun,L 17-24,,29,100,3.45,1
836,HOU,2018,2018-09-16,1:00,12:00,@,TEN,2,2,Sun,L 17-20,,34,100,2.94,0
837,HOU,2018,2018-10-14,1:00,12:00,,BUF,6,6,Sun,W 20-13,,27,100,3.70,0
838,MIA,2017,2017-10-15,1:00,1:00,@,ATL,6,5,Sun,W 20-17,,19,100,5.26,1
839,MIN,2018,2018-09-27,8:20,5:20,@,LA,4,4,Thu,L 31-38,,20,100,5.00,0
840,TEN,2017,2017-10-08,1:00,1:00,@,MIA,5,5,Sun,L 10-16,,31,100,3.23,0
841,OAK,2018,2018-12-24,8:15,5:15,,DEN,16,15,Mon,W 27-14,,24,100,4.17,0
842,SEA,2017,2017-10-08,4:05,1:05,@,LA,5,5,Sun,W 16-10,,22,100,4.55,1
843,TB,2017,2017-10-29,1:00,1:00,,CAR,8,7,Sun,L 3-17,,31,100,3.23,1
844,TB,2018,2018-12-09,1:00,1:00,,NO,14,13,Sun,L 14-28,,30,100,3.33,2
845,WAS,2018,2018-09-23,1:00,1:00,,GB,3,3,Sun,W 31-17,,17,100,5.88,0
846,ATL,2018,2018-09-30,1:00,1:00,,CIN,4,4,Sun,L 36-37,,23,99,4.30,2
847,BUF,2018,2018-12-30,1:00,1:00,,MIA,17,16,Sun,W 42-17,,25,99,3.96,0
848,IND,2019,2019-11-21,8:20,7:20,@,HOU,12,11,Thu,L 17-20,,24,99,4.13,0
849,ARI,2017,2017-09-25,8:30,6:30,,DAL,3,3,Mon,L 17-28,,26,99,3.81,2
850,DEN,2017,2017-11-12,8:30,6:30,,NE,10,9,Sun,L 16-41,,29,99,3.41,1
851,NO,2018,2018-11-29,8:20,7:20,@,DAL,13,12,Thu,L 10-13,,31,99,3.19,0
852,TEN,2017,2017-09-17,1:00,1:00,@,JAC,2,2,Sun,W 37-16,,25,99,3.96,1
853,PIT,2019,2019-09-08,8:20,8:20,@,NE,1,1,Sun,L 3-33,,29,99,3.41,0
854,OAK,2018,2018-12-30,4:25,12:00,@,KC,17,16,Sun,L 3-35,,27,99,3.67,2
855,LA,2019,2019-10-13,4:05,1:05,,SF,6,6,Sun,L 7-20,,41,99,2.41,2
856,LAC,2019,2019-12-22,4:05,1:05,,OAK,16,15,Sun,L 17-24,,29,99,3.41,2
857,SEA,2019,2019-11-03,4:05,1:05,,TB,9,9,Sun,W 40-34,OT,26,99,3.81,2
858,WAS,2018,2018-12-22,4:30,4:30,@,TEN,16,15,Sat,L 16-25,,27,99,3.67,1
859,CHI,2018,2018-11-04,1:00,1:00,@,BUF,9,8,Sun,W 41-9,,28,98,3.50,1
860,CHI,2019,2019-11-10,1:00,12:00,,DET,10,9,Sun,W 20-13,,27,98,3.63,0
861,CIN,2019,2019-10-27,1:00,6:00,@,LA,8,8,Sun,L 10-24,,26,98,3.77,1
862,ARI,2018,2018-12-02,1:00,12:00,@,GB,13,12,Sun,W 20-17,,23,98,4.26,1
863,DEN,2018,2018-11-04,4:05,2:05,,HOU,9,9,Sun,L 17-19,,33,98,2.97,0
864,DEN,2019,2019-09-09,10:20,7:20,@,OAK,1,1,Mon,L 16-24,,28,98,3.50,2
865,DET,2018,2018-10-07,1:00,1:00,,GB,5,5,Sun,W 31-23,,20,98,4.90,0
866,HOU,2018,2018-10-07,8:20,7:20,,DAL,5,5,Sun,W 19-16,OT,29,98,3.38,0
867,KC,2017,2017-12-16,8:25,7:25,,LAC,15,14,Sat,W 30-13,,22,98,4.45,1
868,MIN,2018,2018-09-16,1:00,12:00,@,GB,2,2,Sun,T 29-29,OT,24,98,4.08,0
869,NO,2018,2018-12-17,8:15,8:15,@,CAR,15,14,Mon,W 12-9,,23,98,4.26,0
870,PHI,2019,2019-10-27,1:00,1:00,@,BUF,8,8,Sun,W 31-13,,20,98,4.90,0
871,LA,2018,2018-11-19,8:15,7:15,,KC,11,11,Mon,W 54-51,,20,98,4.90,0
872,SEA,2017,2017-10-01,8:30,5:30,,IND,4,4,Sun,W 46-18,,25,98,3.92,1
873,SEA,2017,2017-12-03,8:30,5:30,,PHI,13,12,Sun,W 24-10,,26,98,3.77,0
874,SF,2018,2018-09-16,4:05,1:05,,DET,2,2,Sun,W 30-27,,18,98,5.44,0
875,TB,2019,2019-09-08,4:25,4:25,,SF,1,1,Sun,L 17-31,,32,98,3.06,0
876,WAS,2018,2018-10-08,8:15,7:15,@,NO,5,4,Mon,L 19-43,,32,98,3.06,3
877,CLE,2017,2017-12-17,1:00,1:00,,BAL,15,14,Sun,L 10-27,,31,97,3.13,1
878,CLE,2017,2017-12-24,1:00,12:00,@,CHI,16,15,Sun,L 3-20,,31,97,3.13,3
879,IND,2018,2018-10-04,8:20,8:20,@,NE,5,5,Thu,L 24-38,,23,97,4.22,2
880,DEN,2019,2019-12-29,4:25,2:25,,OAK,17,16,Sun,W 16-15,,22,97,4.41,0
881,MIN,2017,2017-10-01,1:00,3:00,,DET,4,4,Sun,L 7-14,,31,97,3.13,1
882,TEN,2019,2019-11-10,1:00,12:00,,KC,10,10,Sun,W 35-32,,25,97,3.88,0
883,TEN,2019,2019-12-08,4:25,1:25,@,OAK,14,13,Sun,W 42-21,,24,97,4.04,1
884,LA,2017,2017-12-24,1:00,12:00,@,TEN,16,15,Sun,W 27-23,,26,97,3.73,1
885,LAC,2017,2017-10-29,1:00,1:00,@,NE,8,8,Sun,L 13-21,,32,97,3.03,0
886,LAC,2019,2019-10-20,4:05,3:05,@,TEN,7,7,Sun,L 20-23,,29,97,3.34,1
887,SF,2018,2018-11-12,8:15,5:15,,NYG,10,10,Mon,L 23-27,,23,97,4.22,0
888,WAS,2017,2017-09-17,4:25,1:25,@,LA,2,2,Sun,W 27-20,,22,97,4.41,1
889,CIN,2019,2019-12-22,1:00,1:00,@,MIA,16,15,Sun,L 35-38,OT,34,96,2.82,1
890,CLE,2018,2018-12-09,1:00,1:00,,CAR,14,13,Sun,W 26-20,,25,96,3.84,2
891,IND,2017,2017-12-03,1:00,1:00,@,JAC,13,12,Sun,L 10-30,,27,96,3.56,1
892,DAL,2018,2018-09-30,1:00,12:00,,DET,4,4,Sun,W 26-24,,20,96,4.80,1
893,DEN,2019,2019-12-22,4:05,2:05,,DET,16,15,Sun,W 27-17,,21,96,4.57,0
894,GB,2019,2019-12-15,1:00,12:00,,CHI,15,14,Sun,W 21-13,,27,96,3.56,0
895,JAC,2017,2017-10-22,1:00,1:00,@,IND,7,7,Sun,W 27-0,,20,96,4.80,0
896,KC,2019,2019-11-03,1:00,12:00,,MIN,9,9,Sun,W 26-23,,27,96,3.56,0
897,PIT,2018,2018-09-30,8:20,8:20,,BAL,4,4,Sun,L 14-26,,30,96,3.20,0
898,PIT,2018,2018-12-16,4:25,4:25,,NE,15,14,Sun,W 17-10,,19,96,5.05,0
899,OAK,2019,2019-12-01,4:25,3:25,@,KC,13,12,Sun,L 9-40,,29,96,3.31,3
900,ATL,2019,2019-11-28,8:20,8:20,,NO,13,12,Thu,L 18-26,,18,95,5.28,1
901,CAR,2018,2018-12-02,1:00,1:00,@,TB,13,12,Sun,L 17-24,,25,95,3.80,1
902,ARI,2017,2017-10-01,4:05,2:05,,SF,4,4,Sun,W 18-15,OT,27,95,3.52,0
903,DEN,2018,2018-11-18,4:05,1:05,@,LAC,11,10,Sun,W 23-22,,26,95,3.65,0
904,GB,2019,2019-12-01,1:00,1:00,@,NYG,13,12,Sun,W 31-13,,27,95,3.52,0
905,NE,2018,2018-12-02,4:25,4:25,,MIN,13,12,Sun,W 24-10,,13,95,7.31,0
906,PIT,2018,2018-11-08,8:20,8:20,,CAR,10,9,Thu,W 52-21,,22,95,4.32,1
907,OAK,2017,2017-09-10,1:00,12:00,@,TEN,1,1,Sun,W 26-16,,21,95,4.52,1
908,OAK,2019,2019-09-09,10:20,7:20,,DEN,1,1,Mon,W 24-16,,23,95,4.13,0
909,LA,2018,2018-09-10,10:20,7:20,@,OAK,1,1,Mon,W 33-13,,23,95,4.13,1
910,LA,2019,2019-09-22,8:20,8:20,@,CLE,3,3,Sun,W 20-13,,24,95,3.96,0
911,ATL,2017,2017-11-26,1:00,1:00,,TB,12,11,Sun,W 34-20,,23,94,4.09,2
912,CAR,2018,2018-09-09,4:25,4:25,,DAL,1,1,Sun,W 16-8,,22,94,4.27,1
913,CAR,2018,2018-11-18,1:00,1:00,@,DET,11,10,Sun,L 19-20,,26,94,3.62,1
914,CLE,2017,2017-12-03,4:05,1:05,@,LAC,13,12,Sun,L 10-19,,25,94,3.76,0
915,IND,2017,2017-11-05,1:00,12:00,@,HOU,9,9,Sun,W 20-14,,21,94,4.48,0
916,GB,2018,2018-10-07,1:00,1:00,@,DET,5,5,Sun,L 23-31,,28,94,3.36,2
917,HOU,2019,2019-09-29,1:00,12:00,,CAR,4,4,Sun,L 10-16,,28,94,3.36,1
918,KC,2018,2018-11-11,1:00,12:00,,ARI,10,10,Sun,W 26-14,,25,94,3.76,1
919,KC,2019,2019-12-08,4:25,4:25,@,NE,14,13,Sun,W 23-16,,22,94,4.27,1
920,NO,2019,2019-10-06,1:00,12:00,,TB,5,5,Sun,W 31-24,,22,94,4.27,1
921,NE,2018,2018-10-14,8:20,8:20,,KC,6,6,Sun,W 43-40,,17,94,5.53,0
922,PHI,2017,2017-10-29,1:00,1:00,,SF,8,8,Sun,W 33-10,,24,94,3.92,0
923,OAK,2017,2017-10-19,8:25,5:25,,KC,7,7,Thu,W 31-30,,23,94,4.09,0
924,BAL,2018,2018-12-09,1:00,12:00,@,KC,14,13,Sun,L 24-27,OT,27,94,3.48,1
925,LAC,2019,2019-09-15,1:00,1:00,@,DET,2,2,Sun,L 10-13,,28,94,3.36,0
926,SEA,2018,2018-12-16,4:05,1:05,@,SF,15,14,Sun,L 23-26,OT,26,94,3.62,0
927,SF,2017,2017-10-15,1:00,1:00,@,WAS,6,6,Sun,L 24-26,,33,94,2.85,1
928,BUF,2017,2017-12-31,4:25,1:00,@,MIA,17,16,Sun,W 22-16,,22,93,4.23,1
929,CLE,2019,2019-09-16,8:15,8:15,@,NYJ,2,2,Mon,W 23-3,,24,93,3.88,0
930,IND,2018,2018-12-30,8:20,12:00,@,TEN,17,16,Sun,W 33-17,,16,93,5.81,0
931,IND,2019,2019-09-22,1:00,1:00,,ATL,3,3,Sun,W 27-24,,20,93,4.65,0
932,HOU,2019,2019-10-27,4:25,3:25,,OAK,8,8,Sun,W 27-24,,23,93,4.04,0
933,JAC,2017,2017-09-10,1:00,12:00,@,HOU,1,1,Sun,W 29-7,,23,93,4.04,0
934,KC,2019,2019-11-18,8:15,7:15,@,LAC,11,11,Mon,W 24-17,,19,93,4.89,0
935,NO,2018,2018-09-16,1:00,12:00,,CLE,2,2,Sun,W 21-18,,27,93,3.44,1
936,BAL,2017,2017-09-17,1:00,1:00,,CLE,2,2,Sun,W 24-10,,21,93,4.43,0
937,BAL,2017,2017-12-23,4:30,4:30,,IND,16,15,Sat,W 23-16,,24,93,3.88,0
938,ATL,2018,2018-12-30,1:00,1:00,@,TB,17,16,Sun,W 34-32,,20,92,4.60,0
939,CIN,2017,2017-12-04,8:30,8:30,,PIT,13,12,Mon,L 20-23,,22,92,4.18,0
940,CIN,2018,2018-09-30,1:00,1:00,@,ATL,4,4,Sun,W 37-36,,24,92,3.83,1
941,CLE,2017,2017-09-24,1:00,1:00,@,IND,3,3,Sun,L 28-31,,36,92,2.56,3
942,CLE,2019,2019-11-24,1:00,1:00,,MIA,12,11,Sun,W 41-24,,20,92,4.60,1
943,IND,2017,2017-11-26,1:00,1:00,,TEN,12,11,Sun,L 16-20,,28,92,3.29,1
944,DEN,2018,2018-09-16,4:25,2:25,,OAK,2,2,Sun,W 20-19,,27,92,3.41,1
945,DEN,2019,2019-12-15,1:00,12:00,@,KC,15,14,Sun,L 3-23,,25,92,3.68,0
946,HOU,2017,2017-11-05,1:00,12:00,,IND,9,8,Sun,L 14-20,,28,92,3.29,0
947,MIA,2017,2017-10-22,1:00,1:00,,NYJ,7,6,Sun,W 31-28,,22,92,4.18,1
948,MIA,2019,2019-12-01,1:00,1:00,,PHI,13,12,Sun,W 37-31,,19,92,4.84,0
949,NO,2018,2018-11-04,4:25,3:25,,LA,9,8,Sun,W 45-35,,19,92,4.84,1
950,NE,2019,2019-12-21,4:30,4:30,,BUF,16,15,Sat,W 24-17,,23,92,4.00,0
951,NYJ,2018,2018-10-07,1:00,1:00,,DEN,5,5,Sun,W 34-16,,17,92,5.41,0
952,SEA,2018,2018-09-30,4:05,2:05,@,ARI,4,4,Sun,W 20-17,,28,92,3.29,1
953,SF,2017,2017-12-24,4:05,1:05,,JAC,16,15,Sun,W 44-33,,28,92,3.29,2
954,TB,2017,2017-12-31,4:25,1:00,,NO,17,16,Sun,W 31-24,,26,92,3.54,1
955,CHI,2017,2017-09-28,8:25,7:25,@,GB,4,4,Thu,L 14-35,,24,91,3.79,1
956,CHI,2017,2017-12-16,4:30,4:30,@,DET,15,14,Sat,L 10-20,,20,91,4.55,0
957,IND,2018,2018-11-11,1:00,1:00,,JAC,10,9,Sun,W 29-26,,34,91,2.68,1
958,IND,2018,2018-11-18,1:00,1:00,,TEN,11,10,Sun,W 38-10,,27,91,3.37,0
959,ARI,2017,2017-11-26,4:25,2:25,,JAC,12,11,Sun,W 27-24,,22,91,4.14,2
960,ARI,2019,2019-12-22,4:25,1:25,@,SEA,16,15,Sun,W 27-13,,20,91,4.55,0
961,GB,2018,2018-11-25,8:20,10:20,@,MIN,12,11,Sun,L 17-24,,29,91,3.14,0
962,JAC,2019,2019-09-19,8:20,8:20,,TEN,3,3,Thu,W 20-7,,26,91,3.50,1
963,PIT,2017,2017-09-17,1:00,1:00,,MIN,2,2,Sun,W 26-9,,20,91,4.55,1
964,BAL,2019,2019-12-29,4:25,4:25,,PIT,17,16,Sun,W 28-10,,23,91,3.96,1
965,TB,2017,2017-10-01,4:05,4:05,,NYG,4,3,Sun,W 25-23,,28,91,3.25,1
966,TB,2018,2018-09-16,1:00,1:00,,PHI,2,2,Sun,W 27-21,,24,91,3.79,2
967,ATL,2019,2019-10-20,1:00,1:00,,LA,7,7,Sun,L 10-37,,36,90,2.50,1
968,CHI,2019,2019-09-15,4:25,2:25,@,DEN,2,2,Sun,W 16-14,,24,90,3.75,0
969,CLE,2019,2019-09-22,8:20,8:20,,LA,3,3,Sun,L 13-20,,24,90,3.75,0
970,IND,2019,2019-11-03,1:00,1:00,@,PIT,9,8,Sun,L 24-26,,25,90,3.60,0
971,ARI,2017,2017-12-03,4:25,2:25,,LA,13,12,Sun,L 16-32,,24,90,3.75,0
972,ARI,2018,2018-09-16,4:05,1:05,@,LA,2,2,Sun,L 0-34,,33,90,2.73,3
973,DEN,2019,2019-11-03,4:25,2:25,,CLE,9,9,Sun,W 24-19,,29,90,3.10,0
974,GB,2017,2017-09-10,4:25,3:25,,SEA,1,1,Sun,W 17-9,,18,90,5.00,0
975,HOU,2018,2018-12-15,4:30,4:30,@,NYJ,15,14,Sat,W 29-22,,31,90,2.90,1
976,HOU,2019,2019-12-08,1:00,12:00,,DEN,14,13,Sun,L 24-38,,27,90,3.33,1
977,MIN,2018,2018-09-09,1:00,3:00,,SF,1,1,Sun,W 24-16,,25,90,3.60,0
978,NE,2017,2017-10-05,8:25,8:25,@,TB,5,5,Thu,W 19-14,,20,90,4.50,1
979,NYJ,2017,2017-11-12,1:00,1:00,@,TB,10,10,Sun,L 10-15,,31,90,2.90,0
980,OAK,2019,2019-11-03,4:05,1:05,,DET,9,8,Sun,W 31-24,,19,90,4.74,0
981,SF,2017,2017-11-26,4:05,1:05,,SEA,12,11,Sun,L 13-24,,30,90,3.00,1
982,SF,2017,2017-12-10,1:00,12:00,@,HOU,14,13,Sun,W 26-16,,23,90,3.91,0
983,SF,2017,2017-12-17,4:25,1:25,,TEN,15,14,Sun,W 25-23,,28,90,3.21,0
984,SF,2018,2018-12-23,4:05,1:05,,CHI,16,15,Sun,L 9-14,,28,90,3.21,1
985,WAS,2019,2019-09-23,8:15,8:15,,CHI,3,3,Mon,L 15-31,,24,90,3.75,0
986,IND,2018,2018-12-09,1:00,12:00,@,HOU,14,13,Sun,W 24-21,,25,89,3.56,2
987,DET,2018,2018-09-23,8:20,8:20,,NE,3,3,Sun,W 26-10,,19,89,4.68,0
988,NO,2019,2019-11-28,8:20,8:20,@,ATL,13,12,Thu,W 26-18,,26,89,3.42,0
989,NYG,2019,2019-09-08,4:25,3:25,@,DAL,1,1,Sun,L 17-35,,30,89,2.97,1
990,NYJ,2017,2017-12-24,1:00,1:00,,LAC,16,15,Sun,L 7-14,,30,89,2.97,1
991,TEN,2017,2017-11-26,1:00,1:00,@,IND,12,11,Sun,W 20-16,,24,89,3.71,1
992,OAK,2017,2017-11-19,4:25,3:25,,NE,11,10,Sun,L 8-33,,20,89,4.45,0
993,LA,2017,2017-11-12,4:05,1:05,,HOU,10,9,Sun,W 33-7,,25,89,3.56,0
994,LAC,2017,2017-12-03,4:05,1:05,,CLE,13,12,Sun,W 19-10,,22,89,4.05,0
995,SEA,2017,2017-11-20,8:30,5:30,,ATL,11,10,Mon,L 31-34,,30,89,2.97,1
996,SF,2019,2019-12-15,4:25,1:25,,ATL,15,14,Sun,L 22-29,,20,89,4.45,1
997,CHI,2018,2018-12-16,1:00,12:00,,GB,15,14,Sun,W 24-17,,19,88,4.63,1
998,CLE,2017,2017-10-29,9:30,2:30,,MIN,8,8,Sun,L 16-33,,34,88,2.59,1
999,IND,2017,2017-11-12,1:00,1:00,,PIT,10,10,Sun,L 17-20,,30,88,2.93,0
1000,DAL,2018,2018-10-07,8:20,7:20,@,HOU,5,5,Sun,L 16-19,OT,31,88,2.84,0
1001,DAL,2019,2019-12-29,4:25,3:25,,WAS,17,16,Sun,W 47-16,,20,88,4.40,0
1002,DET,2019,2019-11-28,12:30,12:30,,CHI,13,12,Thu,L 20-24,,23,88,3.83,0
1003,GB,2019,2019-10-27,8:20,7:20,@,KC,8,8,Sun,W 31-24,,20,88,4.40,1
1004,KC,2017,2017-10-19,8:25,5:25,@,OAK,7,7,Thu,L 30-31,,21,88,4.19,1
1005,MIN,2019,2019-09-22,1:00,3:00,,OAK,3,3,Sun,W 34-14,,20,88,4.40,0
1006,NO,2017,2017-11-26,4:25,1:05,@,LA,12,11,Sun,L 20-26,,25,88,3.52,0
1007,NYJ,2018,2018-10-21,1:00,1:00,,MIN,7,7,Sun,L 17-37,,24,88,3.67,2
1008,TEN,2019,2019-09-19,8:20,8:20,@,JAC,3,3,Thu,L 7-20,,20,88,4.40,0
1009,PIT,2019,2019-11-10,4:25,4:25,,LA,10,9,Sun,W 17-12,,23,88,3.83,0
1010,OAK,2019,2019-11-24,1:00,1:00,@,NYJ,12,11,Sun,L 3-34,,30,88,2.93,1
1011,LA,2019,2019-09-29,4:05,1:05,,TB,4,4,Sun,L 40-55,,30,88,2.93,2
1012,LAC,2019,2019-12-08,4:05,4:05,@,JAC,14,13,Sun,W 45-10,,23,88,3.83,0
1013,SEA,2019,2019-09-22,4:25,1:25,,NO,3,3,Sun,L 27-33,,23,88,3.83,1
1014,SF,2018,2018-10-28,4:25,2:25,@,ARI,8,8,Sun,L 15-18,,21,88,4.19,0
1015,ATL,2017,2017-12-31,4:25,1:00,,CAR,17,16,Sun,W 22-10,,24,87,3.63,0
1016,CIN,2017,2017-12-24,1:00,1:00,,DET,16,15,Sun,W 26-17,,22,87,3.95,1
1017,IND,2019,2019-12-22,1:00,1:00,,CAR,16,15,Sun,W 38-6,,21,87,4.14,0
1018,DEN,2017,2017-12-24,1:00,1:00,@,WAS,16,15,Sun,L 11-27,,29,87,3.00,0
1019,DET,2017,2017-10-01,1:00,3:00,@,MIN,4,4,Sun,W 14-7,,22,87,3.95,1
1020,JAC,2017,2017-11-12,1:00,1:00,,LAC,10,9,Sun,W 20-17,OT,30,87,2.90,0
1021,JAC,2017,2017-12-17,1:00,1:00,,HOU,15,14,Sun,W 45-7,,21,87,4.14,0
1022,NO,2017,2017-11-05,1:00,12:00,,TB,9,8,Sun,W 30-10,,25,87,3.48,0
1023,TEN,2018,2018-09-23,1:00,1:00,@,JAC,3,3,Sun,W 9-6,,19,87,4.58,0
1024,SEA,2019,2019-11-11,8:15,5:15,@,SF,10,10,Mon,W 27-24,OT,27,87,3.22,0
