Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
587,DET,2019,2019-12-29,1:00,1:00,,GB,17,16,Sun,L 20-23,,30,120,4.00,0
588,GB,2019,2019-11-10,4:25,3:25,,CAR,10,10,Sun,W 24-16,,23,120,5.22,1
589,NE,2017,2017-10-22,8:30,8:30,,ATL,7,7,Sun,W 23-7,,22,120,5.45,0
590,NE,2017,2017-12-11,8:30,8:30,@,MIA,14,13,Mon,L 20-27,,30,120,4.00,0
591,TEN,2018,2018-09-09,1:00,1:00,@,MIA,1,1,Sun,L 20-27,,29,120,4.14,0
592,BAL,2018,2018-09-23,1:00,1:00,,DEN,3,3,Sun,W 27-14,,24,120,5.00,2
593,IND,2018,2018-09-30,1:00,1:00,,HOU,4,4,Sun,L 34-37,OT,35,119,3.40,1
594,KC,2018,2018-12-13,8:20,7:20,,LAC,15,14,Thu,L 28-29,,24,119,4.96,2
595,NO,2017,2017-09-17,1:00,12:00,,NE,2,2,Sun,L 20-36,,31,119,3.84,1
596,NYG,2017,2017-12-03,4:25,1:25,@,OAK,13,12,Sun,L 17-24,,29,119,4.10,2
597,LA,2019,2019-12-21,8:15,5:15,@,SF,16,15,Sat,L 31-34,,23,119,5.17,2
598,TB,2018,2018-10-21,1:00,1:00,,CLE,7,6,Sun,W 26-23,OT,23,119,5.17,1
599,BUF,2019,2019-12-08,1:00,1:00,,BAL,14,13,Sun,L 17-24,,33,118,3.58,0
600,CAR,2019,2019-11-24,1:00,12:00,@,NO,12,11,Sun,L 31-34,,18,118,6.56,1
601,CIN,2017,2017-12-31,4:25,1:00,@,BAL,17,16,Sun,W 31-27,,26,118,4.54,1
602,ARI,2018,2018-11-11,1:00,12:00,@,KC,10,9,Sun,L 14-26,,23,118,5.13,1
603,ARI,2019,2019-11-10,1:00,1:00,@,TB,10,10,Sun,L 27-30,,26,118,4.54,2
604,DAL,2019,2019-12-22,4:25,4:25,@,PHI,16,15,Sun,L 9-17,,30,118,3.93,1
